client_id,quali_relation
188502,Difficult client
598816,Difficult client
564878,Difficult client
1883627,Difficult client
224223,Difficult client
434261,Difficult client
2272258,Difficult client
2218738,Difficult client
2258090,Difficult client
1028002,Difficult client
967012,Difficult client
1138202,Difficult client
601132,Difficult client
480922,Difficult client
1610455,Difficult client
517696,Difficult client
65987,Difficult client
1821094,Difficult client
310551,Difficult client
875202,Difficult client
665049,Difficult client
781993,Difficult client
1027749,Difficult client
705312,Difficult client
695741,Difficult client
491958,Difficult client
327283,Difficult client
147439,Difficult client
2088380,Difficult client
1023977,Difficult client
84086,Difficult client
1785411,Difficult client
1401937,Difficult client
1243414,Difficult client
603713,Difficult client
1125824,Difficult client
1348476,Difficult client
1708388,Difficult client
417576,Difficult client
1116070,Difficult client
472512,Difficult client
2103907,Difficult client
1444500,Difficult client
29812,Difficult client
1139238,Difficult client
1172375,Difficult client
1930561,Difficult client
1769995,Difficult client
823480,Difficult client
429808,Difficult client
210753,Difficult client
158144,Difficult client
1306326,Difficult client
932852,Difficult client
1773169,Difficult client
215155,Difficult client
1341154,Difficult client
1960677,Difficult client
371301,Difficult client
1475859,Difficult client
1887563,Difficult client
704834,Difficult client
1566156,Difficult client
1978280,Difficult client
2250586,Difficult client
2128397,Difficult client
1271654,Difficult client
1789729,Difficult client
1117513,Difficult client
605315,Difficult client
751381,Difficult client
1839732,Difficult client
2112969,Difficult client
41384,Difficult client
250977,Difficult client
1665874,Difficult client
950388,Difficult client
500963,Difficult client
478280,Difficult client
160438,Difficult client
1444720,Difficult client
1968178,Difficult client
1195826,Difficult client
1610035,Difficult client
719854,Difficult client
77563,Difficult client
687513,Difficult client
1644403,Difficult client
281757,Difficult client
1220968,Difficult client
1899181,Difficult client
316085,Difficult client
2129326,Difficult client
1721261,Difficult client
1674653,Difficult client
1348505,Difficult client
538126,Difficult client
327350,Difficult client
1812792,Difficult client
1641997,Difficult client
638957,Difficult client
992720,Difficult client
1354446,Difficult client
1905750,Difficult client
168204,Difficult client
536063,Difficult client
1566577,Difficult client
1377347,Difficult client
694645,Difficult client
1059962,Difficult client
979325,Difficult client
1152568,Difficult client
1146323,Difficult client
2271189,Difficult client
234250,Difficult client
1927379,Difficult client
1124404,Difficult client
680942,Difficult client
1631095,Difficult client
877434,Difficult client
1831232,Difficult client
2231740,Difficult client
2059183,Difficult client
1679694,Difficult client
1168843,Difficult client
246040,Difficult client
1616818,Difficult client
1304597,Difficult client
1019647,Difficult client
1988349,Difficult client
2179169,Difficult client
1035245,Difficult client
920607,Difficult client
188926,Difficult client
1731983,Difficult client
1101928,Difficult client
798616,Difficult client
38715,Difficult client
962134,Difficult client
2170629,Difficult client
281327,Difficult client
425515,Difficult client
749713,Difficult client
1633448,Difficult client
892199,Difficult client
1418168,Difficult client
358792,Difficult client
492963,Difficult client
44839,Difficult client
1296067,Difficult client
2273574,Difficult client
526883,Difficult client
1115393,Difficult client
2001744,Difficult client
1889373,Difficult client
916618,Difficult client
1098950,Difficult client
1509241,Difficult client
372912,Difficult client
1189814,Difficult client
117709,Difficult client
388504,Difficult client
583795,Difficult client
1700544,Difficult client
884357,Difficult client
1532963,Difficult client
2216290,Difficult client
1691938,Difficult client
808541,Difficult client
611218,Difficult client
2042472,Difficult client
2235840,Difficult client
511962,Difficult client
2039258,Difficult client
862013,Difficult client
2167021,Difficult client
407822,Difficult client
413939,Difficult client
197362,Difficult client
398777,Difficult client
1770053,Difficult client
1025895,Difficult client
1432531,Difficult client
531817,Difficult client
1493730,Difficult client
1417436,Difficult client
1561830,Difficult client
895638,Difficult client
1787256,Difficult client
684676,Difficult client
151852,Difficult client
679182,Difficult client
1527826,Difficult client
2160318,Difficult client
1768721,Difficult client
1991710,Difficult client
1621627,Difficult client
1887951,Difficult client
167951,Difficult client
1638418,Difficult client
569998,Difficult client
1589375,Difficult client
639265,Difficult client
1253452,Difficult client
2057367,Difficult client
220840,Difficult client
2077799,Difficult client
596775,Difficult client
2207448,Difficult client
2262632,Difficult client
212353,Difficult client
37264,Difficult client
1081700,Difficult client
1249092,Difficult client
865784,Difficult client
308467,Difficult client
2246368,Difficult client
1999558,Difficult client
1622920,Difficult client
116139,Difficult client
2075173,Difficult client
1538640,Difficult client
1487306,Difficult client
577099,Difficult client
828304,Difficult client
1277156,Difficult client
1283337,Difficult client
1428028,Difficult client
1211988,Difficult client
1207268,Difficult client
1331052,Difficult client
1655614,Difficult client
1214928,Difficult client
942720,Difficult client
1106742,Difficult client
690130,Difficult client
809847,Difficult client
1480577,Difficult client
1605331,Difficult client
791274,Difficult client
1785645,Difficult client
2000354,Difficult client
569902,Difficult client
1412142,Difficult client
1592949,Difficult client
1904294,Difficult client
1173747,Difficult client
569539,Difficult client
2215223,Difficult client
694254,Difficult client
1808118,Difficult client
229782,Difficult client
123696,Difficult client
1838408,Difficult client
1279981,Difficult client
903384,Difficult client
546948,Difficult client
2015912,Difficult client
2252436,Difficult client
1625615,Difficult client
284766,Difficult client
1389623,Difficult client
1482926,Difficult client
1352146,Difficult client
1584538,Difficult client
2209299,Difficult client
599032,Difficult client
1643098,Difficult client
1434598,Difficult client
378445,Difficult client
378189,Difficult client
349582,Difficult client
1394935,Difficult client
1687434,Difficult client
2027033,Difficult client
1430104,Difficult client
1491015,Difficult client
2146605,Difficult client
1238765,Difficult client
607421,Difficult client
918898,Difficult client
349300,Difficult client
1702447,Difficult client
942459,Difficult client
2260903,Difficult client
398204,Difficult client
667564,Difficult client
1956718,Difficult client
520988,Difficult client
711638,Difficult client
2232234,Difficult client
1191006,Difficult client
85401,Difficult client
136014,Difficult client
1324117,Difficult client
847030,Difficult client
263160,Difficult client
1861193,Difficult client
725267,Difficult client
1912615,Difficult client
1695561,Difficult client
1613036,Difficult client
456985,Difficult client
489052,Difficult client
31771,Difficult client
1622976,Difficult client
1339893,Difficult client
2159455,Difficult client
2012059,Difficult client
2120505,Difficult client
1849387,Difficult client
179175,Difficult client
1073791,Difficult client
326409,Difficult client
1536355,Difficult client
1794667,Difficult client
2025950,Difficult client
1552980,Difficult client
869039,Difficult client
1095289,Difficult client
2182762,Difficult client
598735,Difficult client
151397,Difficult client
216169,Difficult client
1796273,Difficult client
71420,Difficult client
1484309,Difficult client
593632,Difficult client
2243326,Difficult client
1833836,Difficult client
707214,Difficult client
325331,Difficult client
1330222,Difficult client
935373,Difficult client
620696,Difficult client
70315,Difficult client
1816494,Difficult client
1562027,Difficult client
942415,Difficult client
2184726,Difficult client
140865,Difficult client
1443753,Difficult client
445045,Difficult client
367266,Difficult client
316955,Difficult client
772846,Difficult client
178062,Difficult client
765053,Difficult client
17710,Difficult client
2234381,Difficult client
598278,Difficult client
1843683,Difficult client
2036703,Difficult client
286536,Difficult client
176417,Difficult client
922072,Difficult client
1655679,Difficult client
1364032,Difficult client
653541,Difficult client
828969,Difficult client
1270534,Difficult client
437349,Difficult client
