client_id,method,cost,gain
417576,"{'emails': 2, 'calls': 2}",42.0,777072.5421275556
1773169,"{'emails': 2, 'calls': 2}",42.0,723529.9461946269
1552980,"{'emails': 2, 'calls': 2}",42.0,377481.30071036017
2207247,"{'emails': 2, 'calls': 2}",42.0,369337.2388881977
31213,"{'emails': 2, 'calls': 2}",42.0,335524.2234434717
2212698,"{'emails': 2, 'calls': 2}",42.0,325129.60172745114
324012,"{'emails': 2, 'calls': 2}",42.0,273523.375924354
346256,"{'emails': 2, 'calls': 2}",42.0,357294.6734208495
921974,"{'emails': 2, 'calls': 2}",42.0,295501.0005105795
1909014,"{'emails': 2, 'calls': 2}",42.0,286249.3242677033
1432531,"{'emails': 2, 'calls': 2}",42.0,227816.8386034781
1049145,"{'emails': 2, 'calls': 2}",42.0,261132.22822238074
1470656,"{'emails': 2, 'calls': 2}",42.0,253430.10884763714
2171433,"{'emails': 2, 'calls': 2}",42.0,288991.1483056237
1668756,"{'emails': 2, 'calls': 2}",42.0,250835.34623746522
2085897,"{'emails': 2, 'calls': 2}",42.0,199677.77549918107
596258,"{'emails': 2, 'calls': 2}",42.0,261827.00839561032
1232507,"{'emails': 2, 'calls': 2}",42.0,228015.0845365627
335819,"{'emails': 2, 'calls': 2}",42.0,223920.84715244762
564422,"{'emails': 2, 'calls': 2}",42.0,246299.5604212896
1189655,"{'emails': 2, 'calls': 2}",42.0,182269.7636562647
1202835,"{'emails': 2, 'calls': 2}",42.0,211826.72966154665
1440389,"{'emails': 2, 'calls': 2}",42.0,241798.55790976709
1794667,"{'emails': 2, 'calls': 2}",42.0,179753.93568782974
750311,"{'emails': 2, 'calls': 2}",42.0,203056.64129376452
1983214,"{'emails': 2, 'calls': 2}",42.0,172840.45372817398
1444500,"{'emails': 2, 'calls': 2}",42.0,172254.52871215832
2012785,"{'emails': 2, 'calls': 2}",42.0,224648.99931535125
2272758,"{'emails': 2, 'calls': 2}",42.0,167503.83410642156
1386568,"{'emails': 2, 'calls': 2}",42.0,167057.06350657652
188926,"{'emails': 2, 'calls': 2}",42.0,161470.0026756284
250790,"{'emails': 2, 'calls': 2}",42.0,182723.08727268083
1461561,"{'emails': 2, 'calls': 2}",42.0,181775.72523569988
1113561,"{'emails': 2, 'calls': 2}",42.0,154121.77408614557
44839,"{'emails': 2, 'calls': 2}",42.0,152761.7784162894
337414,"{'emails': 2, 'calls': 2}",42.0,203929.3478992294
593006,"{'emails': 2, 'calls': 2}",42.0,176262.48129990645
1372496,"{'emails': 2, 'calls': 2}",42.0,148978.58411405992
1086584,"{'emails': 2, 'calls': 2}",42.0,199311.08145091933
1816517,"{'emails': 2, 'calls': 2}",42.0,194983.9260993598
1587101,"{'emails': 2, 'calls': 2}",42.0,141687.60371234742
268249,"{'emails': 2, 'calls': 2}",42.0,140820.34718438794
409987,"{'emails': 2, 'calls': 2}",42.0,140637.18562338583
1245346,"{'emails': 2, 'calls': 2}",42.0,185524.70881617314
1542078,"{'emails': 2, 'calls': 2}",42.0,185483.3251437413
